"Sample","Treatment","Concentration","Replicate","Data"
"A","DrugX",1,1,19.5
"A","DrugX",1,2,8
"A","DrugX",10,1,3.09090909090909
"A","DrugX",10,2,8.90909090909091
"A","DrugX",100,1,0.227722772277228
"A","DrugX",100,2,0.95049504950495
"A","DrugX",1000,1,0.003996003996004
"A","DrugX",1000,2,0.021978021978022
"A","DrugY",1,1,13.5
"A","DrugY",1,2,2.5
"A","DrugY",10,1,5.09090909090909
"A","DrugY",10,2,6.63636363636364
"A","DrugY",100,1,0.851485148514851
"A","DrugY",100,2,0.376237623762376
"A","DrugY",1000,1,0.047952047952048
"A","DrugY",1000,2,0.050949050949051
"A","None",0,1,67
"A","None",0,2,33
"B","DrugX",1,1,14
"B","DrugX",1,2,26.5
"B","DrugX",10,1,8.36363636363636
"B","DrugX",10,2,1
"B","DrugX",100,1,0.732673267326733
"B","DrugX",100,2,0.772277227722772
"B","DrugX",1000,1,0.0849150849150849
"B","DrugX",1000,2,0.0869130869130869
"B","DrugY",1,1,29
"B","DrugY",1,2,1.5
"B","DrugY",10,1,0.727272727272727
"B","DrugY",10,2,0.545454545454545
"B","DrugY",100,1,0.316831683168317
"B","DrugY",100,2,0.445544554455446
"B","DrugY",1000,1,0.051948051948052
"B","DrugY",1000,2,0.0949050949050949
"B","None",0,1,83
"B","None",0,2,63
"C","DrugX",1,1,18.5
"C","DrugX",1,2,30.5
"C","DrugX",10,1,6.54545454545455
"C","DrugX",10,2,6.27272727272727
"C","DrugX",100,1,0.356435643564356
"C","DrugX",100,2,0.415841584158416
"C","DrugX",1000,1,0.0539460539460539
"C","DrugX",1000,2,0.012987012987013
"C","DrugY",1,1,40.5
"C","DrugY",1,2,37.5
"C","DrugY",10,1,8.45454545454546
"C","DrugY",10,2,3.18181818181818
"C","DrugY",100,1,0.168316831683168
"C","DrugY",100,2,0.792079207920792
"C","DrugY",1000,1,0.025974025974026
"C","DrugY",1000,2,0.028971028971029
"C","None",0,1,21
"C","None",0,2,44
"D","DrugX",1,1,33
"D","DrugX",1,2,24.5
"D","DrugX",10,1,5
"D","DrugX",10,2,0.818181818181818
"D","DrugX",100,1,0.930693069306931
"D","DrugX",100,2,0.396039603960396
"D","DrugX",1000,1,0.0649350649350649
"D","DrugX",1000,2,0.0989010989010989
"D","DrugY",1,1,21.5
"D","DrugY",1,2,3.5
"D","DrugY",10,1,5.63636363636364
"D","DrugY",10,2,2.27272727272727
"D","DrugY",100,1,0.891089108910891
"D","DrugY",100,2,0.584158415841584
"D","DrugY",1000,1,0.001998001998002
"D","DrugY",1000,2,0.0789210789210789
"D","None",0,1,77
"D","None",0,2,24
